number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
78,0.39054345624882575,2025-01-10 22:48:12.434198,2025-01-10 22:50:51.010902,0 days 00:02:38.576704,19.113983811772044,0.47783843754900934,0.8348330198817553,0.2551889361817836,3.134187401337441,37.37218414868937,0.16620959617022096,8,52,2241,0.9437745858290826,COMPLETE
79,0.3798871322397968,2025-01-10 22:48:16.736152,2025-01-10 22:50:52.082164,0 days 00:02:35.346012,20.11021910462738,0.4767414051028266,0.8391978264481771,0.26598894821506053,2.8092976214548986,32.662454643549886,0.16699345177627492,9,28,2213,0.9406874258208695,COMPLETE
80,0.4228841223097655,2025-01-10 22:48:50.800418,2025-01-10 22:50:48.483186,0 days 00:01:57.682768,63.25111653715987,0.46139551000602197,0.2854305316731467,0.25375897470345193,2.928064154128538,40.930481484845274,0.2051648045021133,9,83,1003,0.9417381295250943,COMPLETE
81,0.39065015876663517,2025-01-10 22:48:56.191629,2025-01-10 22:51:54.960882,0 days 00:02:58.769253,20.665840031761082,0.47895037729200496,0.29020603615426394,0.5575946622795529,2.9744859151370058,35.68618801237598,0.22227999317005007,46,51,2993,0.932120373637851,COMPLETE
82,0.3985334120723605,2025-01-10 22:48:57.567960,2025-01-10 22:52:03.498980,0 days 00:03:05.931020,19.896094024083574,0.5802600958895151,0.8272800717400615,0.5423008317785845,3.550763951081814,37.73041736526369,0.21319021787822645,8,52,2962,0.9225828205177182,COMPLETE
83,0.4387972940203085,2025-01-10 22:49:12.718405,2025-01-10 22:52:03.200155,0 days 00:02:50.481750,20.190421279652234,0.4725901894165871,0.48203431247851125,0.3400257373403383,16.49705247341103,7.665690966321932,0.20985997869462492,8,52,2979,0.9181394264186408,COMPLETE
84,0.38505027851661966,2025-01-10 22:49:22.661648,2025-01-10 22:52:17.144235,0 days 00:02:54.482587,19.65914319482131,0.4747272713287353,0.48784910062606285,0.5543858491576485,2.8324428794140486,1.3103096104289236,0.2219147679326149,70,51,2941,0.9234791032544354,COMPLETE
85,0.3897590682283991,2025-01-10 22:49:40.623577,2025-01-10 22:52:43.302020,0 days 00:03:02.678443,20.47057018417639,0.4747316648638278,0.4757276102111453,0.5511620559186516,2.5906591084489663,35.78700326240654,0.20732017646649348,9,53,2590,0.8892652172408685,COMPLETE
86,0.3910035536688959,2025-01-10 22:49:50.712546,2025-01-10 22:53:12.834952,0 days 00:03:22.122406,20.675076823337573,0.47944360104798955,0.2957165580204619,0.5845094689027475,2.969326095887991,32.59630209950417,0.22828127382940497,7,83,2925,0.9194785869809544,COMPLETE
87,0.38966118400221644,2025-01-10 22:49:54.111326,2025-01-10 22:53:17.058637,0 days 00:03:22.947311,22.33321152488152,0.46762713147721324,0.27280261123156097,0.34099858706808706,2.825064194427746,32.92587459172392,0.21610209843977796,10,51,2984,0.9149902711623071,COMPLETE
88,0.38976197796041423,2025-01-10 22:49:56.949964,2025-01-10 22:52:41.837550,0 days 00:02:44.887586,26.18365033108133,0.5678980236150074,0.4694657511387195,0.3479113511623273,2.830075102087432,7.988770613853472,0.22146644493581852,7,81,1426,0.9216376179192153,COMPLETE
89,0.39822031206149927,2025-01-10 22:50:04.477053,2025-01-10 22:52:47.760487,0 days 00:02:43.283434,26.15366028254137,0.5671504460805353,0.492297697375941,0.548090640865836,3.055767097111326,8.188378144450887,0.2116151991530126,8,46,1401,0.9184557208063211,COMPLETE
90,0.38709065918143176,2025-01-10 22:50:46.402556,2025-01-10 22:53:46.686642,0 days 00:03:00.284086,26.040000757405494,0.4611194880978117,0.30484378938389056,0.33770963547346644,2.7276003453065614,4.054324108596411,0.19153695164251802,8,51,2651,0.9190910353986872,COMPLETE
